Conf Unmarked,Greedy Variances
51,28.778922790909203
52,24.684886472340818
53,25.460472282206485
54,26.947866334832522
55,22.330272158831832
56,23.14492384951828
57,20.753011829611623
58,19.371370627810517
59,19.684524067491598
60,18.863015974190393
61,20.50538246111355
62,20.890712649404758
63,18.27049031632336
64,16.986716077198967
65,16.548962627986686
66,17.695414251914958
67,17.23213133883813
68,13.59954696957872
69,13.95827114414007
70,14.048279847250576
71,16.586931665722066
72,14.04630239995961
73,15.52098437383353
74,13.890952778751677
75,13.160072188251856
76,13.135194301850426
77,13.327863461352102
78,22.677796460260712
79,13.184620538718587
80,11.87017445813947
81,14.085182324382991
82,13.6978176485648
83,14.218239735344453
84,11.702928022745228
85,12.156437576559346
86,11.82198003796913
87,12.863899260131225
88,12.110526871738946
89,11.814888059609839
90,10.314047863634011
91,11.158890327148724
92,11.260267205485283
93,16.81530785366746
94,17.083156495465385
95,16.615598845663072
96,13.255043118418074
97,11.664588831999128
98,11.979148550710939
99,9.732479807040157
100,9.22075990330756
101,14.00018601066905
102,10.524814428292785
103,11.425358832263578
104,11.597628747270877
105,9.460895975024076
106,9.627583607752275
107,9.932445743094116
108,8.997950190953988
109,9.638582885723535
110,9.859510064128365
111,11.088716581131772
112,8.811391774288554
113,8.484974464703276
114,9.331429952753862
115,9.053482249259597
116,8.164088278069675
117,8.931003855172783
118,8.489285265065957
119,9.58713648286302
120,9.099648775296687
121,8.927317372248654
122,9.890371299624928
123,8.866945580238015
124,8.876864007549546
125,7.865794974692656
126,8.354036925761047
127,9.680435596259773
128,8.662534070800401
129,8.082022024762095
130,9.385549619850009
131,8.652507464120829
132,8.5739152105664
133,8.714271300892323
134,7.8328794511362
135,7.225893831676927
136,7.926119500668427
137,8.656644846590392
138,8.960858057361639
139,7.545422637452307
140,7.752575736847436
141,7.798733847241017
142,7.7518490177792065
143,7.457420800786288
144,7.726888761541255
145,7.787968687386984
146,7.077726682018129
147,6.636072876768484
148,8.066613839671751
149,6.704456403256448
150,6.6742873111000485
151,7.123880267112418
152,6.97089470698511
153,7.250124520003469
154,6.800626834620025
155,7.576675659789838
156,7.147720839151767
157,6.238332760836074
158,6.487379546153064
159,6.821587784129252
160,6.978926253883164
161,6.942992070346105
162,8.096625756415804
163,9.248499813231954
164,7.679214240222627
165,6.989254331681028
166,6.854774479077079
167,6.193214252532991
168,5.802451784549195
169,7.064467031486683
170,6.010775009177532
171,6.601962657185418
172,5.779054350489074
173,6.5187142126603295
174,6.031615495663525
175,5.46575994466797
176,6.051235233685297
177,5.547895653543473
178,5.680306307562333
179,6.448817017541739
180,5.719705950322396
181,5.521810659233937
182,5.422779075687161
183,5.454233891556009
184,5.825732141938087
185,5.284836209444768
186,5.3098216125973146
187,5.604948686631161
188,5.441041311693522
189,5.251009173593331
190,5.480570970552731
191,5.167044097037251
192,5.162947963081497
193,5.419557415159993
194,5.365930896265933
195,5.009217612938237
196,6.0540630078626805
197,5.699249337368515
198,4.843530755593389
199,4.859202767106116
200,4.532056893339021
201,4.566102583216185
202,5.038336883039949
203,4.962907726350385
204,4.916862857409373
205,4.721287901933946
206,5.177595709047171
207,5.061309057120809
208,5.97464225064789
209,5.258196754378537
210,6.030600407127774
211,5.259504399954883
212,4.545330075692449
213,4.720301897124802
214,5.533829044060622
215,5.410469793263103
216,4.644245389092714
217,4.725336604412049
218,4.612101080916823
219,4.8416345122121
220,4.621224767311126
221,4.631162900005034
222,4.653741388095609
223,4.615699951178929
224,4.318254644646541
225,4.658137667327768
226,4.5098234162281505
227,4.443662022516455
228,4.291949139640663
229,4.582178986675222
230,4.566587228268118
231,4.507243585374055
232,4.073783290719439
233,4.440238093287554
234,4.155156522617162
235,4.230309212777966
236,3.691899255199716
237,4.300369431562509
238,3.637063937852939
239,3.8620806832275787
240,3.594073484405894
241,6.234737382719619
242,3.748343029270458
243,4.1949542083313975
244,3.781620041012417
245,3.6973552478556106
246,3.855735528068289
247,3.8986553237535104
248,3.5764757600882526
249,3.6150756376568194
250,3.4534479057373555
251,2.9963424392558697
252,3.1776237551969295
253,2.531762416842803
254,2.529366314774876
255,3.6016396382121627
256,2.8743724999808316
257,2.9195238755267234
258,3.600426528351199
259,3.8106490687702066
260,3.7346068716712333
261,2.7621096692448104
262,4.158537237137923
263,3.50654051210415
264,2.7323837384193017
265,2.849184176285057
266,4.334225578305352
267,2.9002577831441125
268,3.159108086676237
269,2.7741657595563436
270,2.7225200158767833
271,2.625169406515217
272,2.5697303848529485
273,2.396309895469547
274,2.305502773373847
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
