Conf Unmarked,Greedy Variances
51,30.40592408446487
52,30.81208829744111
53,19.609659467415746
54,19.232776944768847
55,18.932475041248566
56,14.227653042969212
57,14.312160637729772
58,15.266240916960987
59,11.66223359943445
60,14.783726413413726
61,10.867848265683781
62,11.256578945468094
63,15.716825624254207
64,12.005064758722092
65,13.256980765585244
66,10.94765481767417
67,11.697960484996438
68,9.78813538729415
69,9.671245344069723
70,9.310181254948802
71,10.286005932690164
72,9.038724442720984
73,8.259239484696474
74,9.161398333042106
75,9.260791900999008
76,9.386647733172191
77,7.48916169466843
78,7.238518578277189
79,9.702252888433238
80,6.360622638663131
81,7.978378899319779
82,7.393204633310239
83,7.227420855252416
84,7.238872495078222
85,5.583855052079198
86,6.106330432672772
87,6.9072787459664
88,6.984954876110637
89,6.152139420107809
90,5.8435327499724
91,6.193510494870261
92,7.801042756153393
93,6.066997922340384
94,7.998659957212276
95,5.641670209255412
96,5.730116002039173
97,6.241244563374013
98,6.018582702904454
99,5.471248555623922
100,5.716888001841144
101,5.549624778744461
102,5.32892076576278
103,5.202792477421537
104,4.964391883985165
105,5.187211571633539
106,4.697047240317877
107,6.2269847594517564
108,4.9755475122718895
109,5.35742184056639
110,5.236860958268354
111,7.108941813178166
112,8.79602396919578
113,6.257888275342303
114,5.57181203625418
115,4.929551712303079
116,4.713886138910468
117,4.451107435068948
118,4.618862589527562
119,4.593690948222113
120,4.1817798092264304
121,4.226229628842784
122,4.31021741319772
123,4.496733935128177
124,4.353395258737487
125,4.520323709908759
126,4.349160131083354
127,4.43041220072995
128,4.384086625842938
129,4.555579916135918
130,3.857262227813464
131,4.092317777542579
132,3.8942177159280176
133,3.7893966626882194
134,4.780789462932758
135,3.7664373916414102
136,3.6978530283155417
137,3.6890731868951967
138,4.276794672025613
139,3.829182119249613
140,3.7936359494753757
141,3.73877780308673
142,4.080732800013031
143,3.7420718220775915
144,3.809400545585805
145,3.6158760177631533
146,3.786339182453545
147,3.263366396375699
148,3.658702224827083
149,3.751765553112598
150,3.489102972163643
151,3.9426503544519793
152,4.45756258292548
153,4.642749424695004
154,3.6806017951250984
155,4.046349042712946
156,3.3338029798884583
157,3.1422129785273083
158,3.2948475232790977
159,3.3014147772618996
160,3.366129301757313
161,2.8857237952341666
162,3.3517981942188535
163,3.095144242661822
164,3.3204709366250094
165,2.8972053029287714
166,2.977414631815304
167,2.970313675822384
168,2.7230097387214074
169,3.0311051589541225
170,3.2754941342731985
171,3.124018195900854
172,2.8724093387296215
173,3.057315389603977
174,3.4361316774748256
175,2.8696605478542554
176,3.4042241932151676
177,2.8223800449113576
178,3.0009294560633624
179,2.8481278776139947
180,2.8446691734451663
181,2.872730023010293
182,2.6525859933235534
183,2.9268335902054226
184,3.094255024396415
185,2.6637788362129204
186,2.711656027901495
187,2.553192947235212
188,2.532945593525765
189,2.5369624972437697
190,2.6641644309207804
191,2.669758774126029
192,2.472668109196332
193,2.696477721033349
194,2.7798869194123212
195,2.4367286585821484
196,2.676609955183334
197,2.7910494327109183
198,2.7696194066748996
199,3.024748866435793
200,2.5174494362486026
201,2.1069554417595286
202,2.6707330947897887
203,2.4720148833884523
204,2.5139182213409623
205,2.073088501519473
206,1.9791302389596743
207,1.9436863127640485
208,1.9641482444846785
209,1.9059806868438804
210,1.988800264296377
211,1.9454481827207122
212,1.9020418078468668
213,2.0046780354467986
214,2.2765231522477083
215,2.008909722797398
216,2.13178496870509
217,2.2871989154370067
218,1.8175324311558763
219,1.5618858863792977
220,1.6403953898345376
221,1.5403863846765036
222,1.7070729250617243
223,1.4605610502553465
224,1.2648405168569055
225,1.3279602702985989
226,1.4038329544105719
227,1.3236565004277376
