iteration,mean_variance,std_variance,relative_std
1,0.0,0.0,
2,25.5,4.948375466058171,19.405393984541845
3,30.65910284895649,4.390061057784086,14.318948207362519
4,29.086502568275808,4.008081860134203,13.779868689010947
5,29.05384229833457,3.859722474485458,13.284723014782477
6,29.720228835643603,5.286475031508386,17.78746408967179
7,28.700294735246064,4.892218071129364,17.045880943938048
8,28.076472775731588,3.7494683480936173,13.354485009721515
9,28.22275120379404,2.5654813907216028,9.090118012225258
10,28.021708827316125,3.202203304297175,11.427580395010038
11,28.09468830202484,2.5526010542938327,9.085706973691043
12,28.269373584926843,2.602021868031001,9.204384597394801
13,28.01075658149511,2.9671662818110844,10.5929530078145
14,28.12779295161034,3.251447320485211,11.559553663093439
15,28.002385082827686,2.5357718477224367,9.055556661412693
16,27.668288456286852,2.599687973028906,9.3959117750856
17,27.053988327910094,2.486074500619,9.189308690779079
18,27.14312055994846,2.2023512163605887,8.113846790373504
19,27.532757400162666,2.2880203495627933,8.31017509909587
20,27.270966759863068,2.4131101047207433,8.848641582711753
21,27.50866636656402,2.0335877258332955,7.392534769715561
22,27.5480689025761,2.2155333524982077,8.04242707658912
23,27.488904662599833,1.969567061026989,7.164952860805303
24,27.668181675242444,2.0553391730729187,7.4285299886983225
25,27.38377717270283,1.964622692442693,7.174403589586255
26,27.24290556988809,2.0135290395043732,7.391021616027444
27,27.3526442320753,2.0686672909823964,7.5629517696009705
28,27.29754870016236,2.0272003007887203,7.42630894464404
29,27.284476790403698,1.8400309768506649,6.7438748816243645
30,27.264397875766612,1.999120374469448,7.332347420906457
31,27.10406698282764,2.040547387199807,7.528565320077756
32,26.982987855993382,1.6243083005189909,6.01974958884401
33,27.063440102726968,1.6011998131062184,5.9164681468002955
34,26.938610003427385,1.4877238834093474,5.522645315478656
35,27.243964587545815,1.5723332340694847,5.771308463630342
36,27.171744015026643,1.6488723216091488,6.0683345194820095
37,26.824348061913575,1.6427928791168107,6.124260225542341
38,27.013796593072545,1.2924316695181663,4.78433923593546
39,26.729850352721012,1.313657418947954,4.914570794872511
40,26.683744894352355,1.5432716628871213,5.783564746992303
41,26.890869803535942,1.633716062343531,6.075355963862165
42,26.966441621252834,1.7536515632443592,6.503088497454068
43,27.160878639948102,1.500037957494503,5.522788777857333
44,27.17398742720136,1.3780288364329292,5.0711322367563625
45,27.17240804410863,1.068612319819249,3.9327111461177235
46,27.220678195761145,1.0912726089185507,4.008983909476898
47,27.15010619104141,1.1277087871451439,4.153607279507616
48,26.9463435479756,1.1487815575514364,4.263218701662181
49,27.043238396852388,1.3304875123700357,4.91985276631993
50,27.063331558520577,1.3165112952881879,4.864557389918609
51,27.02323824702064,1.4873064779946776,5.503805518787726
52,26.956487201733943,1.343382802525297,4.983523233097247
53,26.872356061337012,1.3155191436341336,4.895436561764138
54,26.83771578446192,1.3775915501943428,5.133043218946074
55,26.818437168647527,1.4614425484701667,5.449394904258951
56,26.813758722045087,1.4662963263909135,5.468447529459529
57,26.595804093782316,1.4582185221196438,5.482889394799507
58,26.535183150090557,1.3593984937134858,5.123003998217538
59,26.459340067357413,1.3549485247234998,5.1208704422491795
60,26.476238622584255,1.4740776770772623,5.567549447223492
61,26.440643048920986,1.5237723327642583,5.762992715210993
62,26.504296393137555,1.688883714902037,6.3721129957606415
63,26.576675899016635,1.710650894566462,6.436662361637777
64,26.623116645860783,1.6726828053443883,6.28282115724587
65,26.51226410279301,1.7087117410064643,6.444986118052645
66,26.604113165762595,1.7757500021123584,6.6747197737739645
67,26.416314519060172,1.7676042611214473,6.691335613247894
68,26.32726517676308,1.7950392942669122,6.8181760703775875
69,26.276596248549232,1.827407913888507,6.954507717069333
70,26.25224478773817,1.8485049059277743,7.041321307468415
71,26.312312311532803,1.9842797460191506,7.541259477789916
72,26.331545600154847,2.09791529005435,7.967307813643923
73,26.38162624027625,2.1337636906330815,8.088067320791282
74,26.32721113756859,2.111667020264736,8.020853440307677
75,26.175092712179985,2.068674247230637,7.903216504245757
76,26.09840487716834,2.029790924067923,7.777452045905091
77,26.042216034564586,1.8877378119573145,7.248760280046102
78,26.016307033704408,1.890453923975476,7.2664191790417165
79,26.050754559124687,1.807259243846006,6.937454497697015
80,25.99551510111498,1.7080121056396922,6.570410699676551
81,25.93016655127235,1.6963010456814223,6.54180543857011
82,25.838981897297657,1.689568113417179,6.538833922066722
83,25.757379952659143,1.6713561902562906,6.488843948135116
