iteration,mean_variance,std_variance,relative_std
1,0.0,0.0,
2,26.71111111111111,2.816705018366997,10.545068704368958
3,27.342157606800676,3.395364848272279,12.418057481417513
4,27.68533707882518,2.052072055439692,7.412125955328158
5,27.93545682335618,2.6285009991440655,9.40919282532168
6,28.007098095636458,3.3327963795006705,11.899827565569618
7,28.613197078440965,3.51943022097398,12.3000243954764
8,28.20097978487521,3.6271589960927084,12.8618190706907
9,28.136823890420878,2.8632045548674316,10.176004818518992
10,28.152671048933836,3.0055342731888155,10.675840555110089
11,29.841314813778688,2.8154690202108195,9.43480217872581
12,30.883023299021563,3.0839283429700663,9.985836921179189
13,30.416167792341223,2.8161098817313763,9.258595300228688
14,29.836398577840747,2.8700506797745957,9.61929326787503
15,29.62872839403584,3.0423198826272926,10.26814192687291
16,29.853766239126884,3.58058929990993,11.993760757787221
17,30.411533478717235,3.2172921235335106,10.579184130208539
18,29.879468136505142,3.1526923299911735,10.551366964057108
19,29.611608537995995,2.8744860808844472,9.707294614529514
20,29.45791313104197,2.4395801882392236,8.281578458687417
21,29.351020603732884,2.419685043439383,8.243955384405426
22,29.09076508765683,2.4904903555593294,8.561102975652025
23,28.861519584034948,2.170876237099763,7.521697638888723
24,29.082243177867888,1.772745787790901,6.095629477233698
25,28.643355491808954,1.6402274750344015,5.726380331045544
26,28.70372734009444,1.6021400591556727,5.581644642080137
27,28.78771945324844,1.7264608293681785,5.997212916333887
28,29.179649677062656,1.9165139778905138,6.567981449746582
29,29.552712523828312,2.009231012795936,6.7988040393107605
30,29.65818876479305,2.070219556853065,6.980262932679835
31,29.579182942496907,2.095324087413818,7.08377946573849
32,29.82255280981287,2.184603143974541,7.325339175041094
33,29.826571421585395,2.2639961599046754,7.590534385947653
34,29.753357485674847,2.2082108105692293,7.421719755938138
35,29.723257670627692,1.8471885731733786,6.21462355722454
36,29.632682363178912,1.8361551237027736,6.196385130440807
37,29.624892143002874,1.9025482148717099,6.422127060202898
38,29.509143236624276,1.891705935700981,6.410575598661075
39,29.568338377341625,1.9473870341805652,6.586055020504156
40,29.29360075943428,1.8680560910253918,6.377010823511571
41,29.171021208451698,1.7020925789352452,5.834874846418127
42,29.191433812976936,1.7628714666985814,6.039002667676105
43,29.196387851945524,1.667455241818502,5.7111696497325095
44,29.09580402469934,1.7119238919636597,5.883748359421216
45,29.102714362599848,1.7734758374518598,6.093850268932196
46,28.898470457268935,1.7205325079158182,5.953714783832258
47,28.815713855655265,1.753146260306577,6.083993855187839
48,28.951482125820593,1.8103442486272232,6.25302787870972
49,28.980209912156095,2.1206993732044785,7.317750215173306
50,28.913018892045482,2.133911329124669,7.380451474445474
51,28.85654830390277,2.0498873951134478,7.103716541303057
52,28.85871611330341,1.9888209239492676,6.891577976445226
53,28.788114426436227,2.0273194738198654,7.0422100030218395
54,28.927226702949405,2.175424495445082,7.520335488030994
55,28.953175976557,2.2710548758577964,7.843888621050206
56,29.211676969398592,2.4539516341831944,8.400584590723401
57,29.145523316317032,2.472185880473534,8.482214759511587
58,28.963621815957488,2.420252594314782,8.356180762522404
59,28.90106315224562,2.448754909516365,8.472888684463832
60,28.730812667990232,2.4083753340394045,8.382552076999339
61,28.906169498037496,2.3550067261792296,8.147072985021818
62,28.83093897927717,2.2707470953528803,7.876077490868496
63,28.93687498770753,2.4800274841353054,8.570474473103362
64,28.99256182585058,2.2956211203602406,7.917965767045121
65,29.108355429505753,2.179816722378421,7.4886289184473975
66,29.168957638719,2.0754019565906527,7.115104976654206
67,29.27930388481527,2.0328131051612286,6.942832770745888
68,29.269316221704155,2.0382681447831645,6.963839296224221
69,29.362828846561342,1.911347556880879,6.509412178468341
70,29.31180272832056,2.0363409363031058,6.947170582366222
71,29.209268294629727,2.1250136640132724,7.275134873556442
72,29.309494674064883,1.9410535795460755,6.622610185305096
73,29.373085073508094,1.831608977282961,6.235671100598517
74,29.283347558771034,1.8856816701652317,6.439433423315795
75,29.24184823971664,1.8833395251010463,6.440562544685774
76,29.219937852996573,2.0090011107503862,6.875446213669337
77,29.072844313419704,2.017093544615144,6.938067438018357
78,29.119497996012626,2.032091513677802,6.978456544670032
79,29.07871479631653,2.0439611960636426,7.029063046220172
80,29.029733823785072,2.0728227718851646,7.140343705758778
81,29.065680067675352,2.214075289087588,7.6174900567694435
82,28.9851405127392,2.1540902808370177,7.431705497133187
83,29.001447917962828,2.1694912511502196,7.480630819837401
84,29.01429800070026,2.0865479842121255,7.191447417276016
85,29.131925201109148,1.942858141403343,6.669171803754913
86,29.135021337226544,1.8802500590629156,6.453573646985709
87,29.040520723748102,1.8314196601244177,6.306428447155084
88,28.93033385373277,1.8496721714305557,6.39353897809202
89,28.830543404878863,1.8263170180007997,6.334660406337468
90,28.843060640086513,1.8858399081995647,6.538279455608801
91,28.93842461207845,1.8725969844402006,6.4709707233288976
92,28.89169702077445,1.855048647680821,6.420698120802514
93,28.900452392014806,1.9149100137079087,6.625882487005629
94,29.0267248627104,1.9925203905707802,6.864434068931077
95,29.009919277784917,1.9513578546163963,6.726519422309107
96,28.956289334212606,1.8455434666037844,6.3735496123228295
97,28.92449409224569,1.8008643546877778,6.226087650641288
98,28.852416946120194,1.7570094733551544,6.0896439859310325
99,28.770703808229428,1.7124723676014302,5.952139297724108
100,28.78607041305893,1.6996519764587825,5.9044251336498075
101,28.749871406266074,1.6213199351665266,5.639398911583158
102,28.796928964636123,1.8176083973498205,6.311813317253108
103,28.98460504211463,1.8651313661224858,6.4349035062318425
104,28.955747661052953,1.8771552987881792,6.482841751356518
