iteration,mean_variance,std_variance,relative_std
1,0.0,0.0,
2,30.555555555555554,10.206207261596576,33.40213285613425
3,32.55252049548455,4.757934020142563,14.616177020155932
4,33.86477811313914,3.8756856361579644,11.44459185059371
5,33.300146175870864,2.8955509463515066,8.695310017736828
6,34.21265197231082,3.237077383573424,9.461638303260658
7,34.309626606934685,2.2665506831962627,6.606165404138051
8,34.92622905849813,2.7460615434170514,7.86246215936355
9,34.01803417591456,2.820277205841015,8.290535517886648
10,33.680459006185956,2.930809460812833,8.70180973565278
11,33.99139280785189,3.3808926125858623,9.946319739522085
12,34.48244557838281,2.580552150801058,7.483669175769879
13,35.39495543411154,2.9961076128133537,8.4647870750697
14,35.35830177458665,3.0138376425381654,8.52370586616896
15,35.23897651256961,3.4348523425948185,9.747310173351998
16,35.00856578646342,3.4621995497427624,9.889578370221248
17,35.15796318073689,3.825331585799488,10.880412969700684
18,35.181385102371955,3.7276686805682426,10.595571122971279
19,34.69151043930316,3.801137128430256,10.956966359480912
20,34.73406582525548,4.172462999403062,12.012595992632754
21,34.3514866448878,4.2643993546125865,12.414016891601447
22,34.3598981159479,4.2561915171407545,12.387090039610083
23,34.18665509370747,4.310461335162876,12.608608017800126
24,34.198914866065,4.414158993020998,12.907307177167462
25,34.186713319711984,3.8489363996009263,11.258573948322894
26,34.09004667973578,3.9390971767245824,11.554977362545262
27,33.79669408338166,4.04480604522545,11.968052364075284
28,33.79944565401846,4.257029789145646,12.59496925695739
29,33.922357767954566,4.112745952138313,12.123997925708753
30,33.886860977872644,4.2428037332649575,12.52049794767185
31,34.1638870277435,3.6613186967489346,10.716926600815897
32,34.08495085931783,3.722326298667692,10.920732478187267
33,34.13854388767697,3.712397617998911,10.874504871131835
34,34.09765498875012,3.8993412956253017,11.43580488720358
35,34.28792714478366,4.118664656035805,12.011996638479769
36,34.506777465969165,3.655609367587239,10.593888030235298
37,34.457196235966954,3.7635557045580295,10.92240842459948
38,34.39461525876177,3.908799276086402,11.364567525117655
39,34.64766269597366,3.544475814313124,10.230057494542109
40,34.719613120562734,3.4787228400598464,10.019474664017983
41,34.71571311392229,3.4820269851183556,10.030117986318803
42,34.75371665693783,3.681414169379983,10.592864658822233
43,34.80062478051688,3.8849916670275366,11.163568733405466
44,34.59016196001839,3.807839995555587,11.008448008878771
45,34.50675774336806,3.818990864914819,11.067370899686454
46,34.38335969772464,3.898744652749002,11.339045070127355
47,34.46046346638241,3.7434076331770303,10.86290565078696
48,34.77104031191986,3.517450643645074,10.11603510303733
49,34.65254697837762,3.5067991140709447,10.119888492638378
50,34.55403935314248,3.521253836208291,10.190570775882543
51,34.6952839514337,3.660237447273396,10.549668515170476
52,34.637653551450185,3.7367806137052004,10.788203675963933
53,34.60435638108377,3.747456006111208,10.82943420430073
54,34.564752475075366,3.6184405242404334,10.468585090692288
55,34.52154156272386,3.705120325735729,10.732777732430392
56,34.70745435827831,3.826240975032581,11.024262786705814
57,34.6119280498817,3.8912392238846443,11.242480390796791
58,34.5089368597573,3.8674060753743773,11.20696963540585
59,34.477525120927396,3.6451907752063817,10.572657876170467
60,34.61997407010489,3.4200908738715516,9.878952731004139
61,34.501554251113696,3.4688029213588583,10.054048278844965
62,34.408140897046465,3.534606447348562,10.272587693489614
63,34.45852706232189,3.2694047101580894,9.487940979732027
64,34.48975418751659,3.3704190073213915,9.772232614349278
65,34.483317503683125,3.382620948538505,9.809441763186534
66,34.42202843368708,3.279298380634807,9.526743570479203
67,34.4045225216552,3.377963138155746,9.818369477528886
68,34.424305916297115,3.4541767882933274,10.034121811176606
69,34.595765461146414,3.2846957389165494,9.49450227544612
70,34.830491275866834,3.155620497124995,9.059936801154006
71,34.828478738438974,3.2770617046708455,9.409143963138611
72,34.78193643388452,3.3593135135063026,9.658213020692154
73,34.76643841256801,3.4009297762287427,9.78222081845264
74,34.91720752662963,3.2435478690421453,9.289253347560658
75,34.79290688170051,3.260289566915464,9.370558137038639
76,34.90768117735747,3.0935294679843865,8.862030830025382
77,35.06350022969332,2.959498506236792,8.440396671324212
78,35.0653123848634,3.0329968792361095,8.649564692158169
79,35.077680353766254,2.8243933679875237,8.051824805696628
80,35.022998635746774,2.851546954321777,8.14192692059012
81,34.96903147013834,2.889649426640835,8.263452847152598
82,34.93744945591658,2.968867941696316,8.497666509521189
83,34.8827593331451,3.0653616609152587,8.7876123320399
84,34.85435565613922,3.077535360791306,8.829700916445521
85,34.9175091375165,2.8948988868321366,8.290679828939355
86,34.86078955956505,2.8684278810841963,8.228235554398571
87,34.903832512976805,2.9679959650513728,8.50335264457824
88,34.86756955998483,2.994492871372842,8.588189280647255
89,34.92616626343656,2.836404787362461,8.12114552157942
90,34.89881574756155,2.932390328320077,8.402549672548615
91,34.84872543643552,2.9428436411819705,8.444623452727852
92,34.88676203918419,2.7746117900602183,7.953193784346692
93,34.76719347111688,2.7670744946385963,7.958866443842713
94,34.714422958305306,2.779594089268419,8.007029506458816
95,34.71059419741265,2.8148766331418402,8.109560490761242
96,34.750043663320355,2.917673180526093,8.396171264687585
97,34.82350326352807,3.0375435780396276,8.722682364990424
98,34.808461785503276,3.0909133042791996,8.879775622738022
99,34.752610209675474,3.1234997224184964,8.987813299701106
100,34.73295148623864,3.160180619588141,9.098508719710214
101,34.71581539438414,3.227081843735387,9.295710923320042
102,34.77949918127571,3.082277547039079,8.862340227999859
103,34.74371104219919,3.1023333672372546,8.929194015772257
104,34.735706174601184,3.151954222010665,9.07410434141506
105,34.702330811564835,3.2244444900145495,9.291723105065833
