num_marked,pearson_mean,pearson_std,kappa_mean,kappa_std
1,,,0.0,0.0
2,,,-0.0005246139018015627,0.006728785390744343
3,,,0.010641124114207257,0.024178049936725222
4,,,0.03693968585314218,0.049205982200245225
5,,,0.04491501937128857,0.050108442162770835
6,0.15016668570567732,0.07615040480438084,0.0583869467462375,0.03225168105773299
7,0.15427976690332193,0.09345528417335652,0.06272559527531943,0.03798247012317628
8,0.18959044752553744,0.06909329830413222,0.07853539245440741,0.017558542044893537
9,0.18538950144660998,0.06944173093146282,0.08273145389303135,0.014467210240183468
10,0.18843275845845942,0.05707357821758349,0.09563088663248173,0.030444821933790264
11,0.1907703426922029,0.02333754758231714,0.12953340695162607,0.01459608259015266
12,0.2083423734843867,0.04427453620580176,0.15693393159857308,0.038456116133426164
13,0.22488843944390985,0.03722817618869613,0.1737882861244117,0.04401129969130253
14,0.22814065868035033,0.04135140808031336,0.17348455491028342,0.047458948398400536
15,0.22257433836700158,0.03502885784612315,0.17309041585043025,0.04472551164165255
16,0.23736819043823149,0.017566325119649825,0.184176437200841,0.02851132203092256
17,0.23905148446587088,0.020049025212911114,0.19246944423258058,0.030008235762394083
18,0.21804353086647899,0.03184248430693001,0.1822807155221553,0.02503947251945285
19,0.21646145780067724,0.030393403928052794,0.1823535303647706,0.02372298642424388
20,0.2130642583046793,0.034154792904063695,0.18385609330178135,0.02951399224585579
21,0.23077950423800112,0.03356350110118913,0.19173890994170512,0.029853701555388388
22,0.2343629314990041,0.04623180355632949,0.2009357019440233,0.04427973664522468
23,0.19346009652364263,0.07270508969450043,0.18058441725316116,0.0634738431248963
24,0.19391512100479508,0.08023085609791049,0.18876314220867807,0.05294281071955725
25,0.19083690201290143,0.08175252043344407,0.18539905412547683,0.052871065146355936
26,0.19335519205578958,0.08562023754670922,0.1927069308101943,0.05328292629278328
27,0.1972183578872654,0.08720216421491792,0.1974720946242169,0.05294965881432631
28,0.19634853605074198,0.08881456099371295,0.19864951026318448,0.05256952510462644
29,0.20590763780847218,0.09420200990455484,0.19596850879000224,0.04713476924979376
30,0.2034289234353212,0.08746426065014604,0.20057779954969587,0.052039989717800765
31,0.2025653245736235,0.08420006370324717,0.19735938941064557,0.050316273582233666
32,0.1789315890508147,0.06867157630068481,0.17683652694059732,0.044464928157455175
33,0.17336176162393677,0.06788164576345011,0.18273021299183653,0.04548925009486128
34,0.18367467066790216,0.0669536098856,0.1968253012013243,0.040361040668552374
35,0.19932037440488967,0.07389919052555287,0.2065976197662316,0.03710687193774161
36,0.19808881153709285,0.07738264356333266,0.20401658648493354,0.03780342096724155
37,0.21600165167868735,0.0930023905332779,0.23273715343762583,0.058884057855063156
38,0.21383086998665896,0.08574209327308252,0.22857219685408045,0.05252991568173111
39,0.20968212892029392,0.07073830768267471,0.22169643843934644,0.03992461277959733
40,0.20612481066416938,0.07234921324221504,0.21158026293123172,0.038436863673566544
41,0.20391941661800672,0.06876040611914906,0.2135103411319888,0.03386625341318058
42,0.20123903002158605,0.0682147824059302,0.21202068625134807,0.03459220717443119
